repo_id,n_modules,total_edges,cf_edges,has_cf,sec_reached,stars,forks,size_kb
78204599,3,2,2,1,0,0,0,3
78200690,8,7,7,1,1,31,3,121
78269150,1,0,0,0,0,0,0,10
78273656,1,0,0,0,0,1,0,13
78303891,1,0,0,0,0,1,0,4
78317633,11,14,14,1,1,28,7,79
78214964,35,0,0,0,0,17,6,25131
78382167,13,36,19,1,1,3,1,1761
78405600,1,0,0,0,0,0,0,4
78641941,1,0,0,0,0,0,2,24
78656921,3,4,4,1,0,1,9,24
78675169,1,0,0,0,0,0,0,15
78690898,3,0,0,0,0,1,0,19
78848993,1,0,0,0,0,0,0,52
78867709,5,0,0,0,0,4,2,44
78909348,4,4,2,1,0,0,2,29
79032271,4,2,2,1,1,1,1,112
79063720,12,11,11,1,1,4,1,209
79126852,1,6,0,0,0,0,4,110
79227396,2,0,0,0,0,2,2,22
79324707,1,0,0,0,0,0,0,22
79325191,2,0,0,0,0,0,0,7
79453212,1,0,0,0,0,0,0,1
79473930,1,0,0,0,0,10,18,23
79461725,1,0,0,0,0,0,1,98
